is_valid,lap_number,rider_name,rider_number,sector_number,sector_time,time_seconds
True,7,David ALMANSA,22,4,27.311,27.311
True,8,David ALMANSA,22,1,22.863,22.863
True,8,David ALMANSA,22,2,26.886,26.886
True,8,David ALMANSA,22,3,23.015,23.015
True,8,David ALMANSA,22,4,27.285,27.285
True,10,David ALMANSA,22,1,22.775,22.775
True,10,David ALMANSA,22,2,27.046,27.046
True,10,David ALMANSA,22,3,23.027,23.027
True,10,David ALMANSA,22,4,27.264,27.264
True,11,David ALMANSA,22,1,23.127,23.127
True,11,David ALMANSA,22,2,27.006,27.006
True,11,David ALMANSA,22,3,22.970,22.97
True,11,David ALMANSA,22,4,38.783,38.783
True,12,David ALMANSA,22,1,24.921,24.921
True,12,David ALMANSA,22,2,28.682,28.682
True,12,David ALMANSA,22,3,23.467,23.467
True,12,David ALMANSA,22,4,27.457,27.457
True,13,David ALMANSA,22,1,22.902,22.902
True,13,David ALMANSA,22,2,27.180,27.18
True,13,David ALMANSA,22,3,23.039,23.039
True,13,David ALMANSA,22,4,27.001,27.001
True,14,David ALMANSA,22,1,22.715,22.715
True,14,David ALMANSA,22,2,26.677,26.677
True,14,David ALMANSA,22,3,22.860,22.86
True,14,David ALMANSA,22,4,26.873,26.873
True,15,David ALMANSA,22,1,22.706,22.706
True,15,David ALMANSA,22,2,26.793,26.793
True,15,David ALMANSA,22,3,22.804,22.804
True,15,David ALMANSA,22,4,26.881,26.881
True,17,David ALMANSA,22,1,22.881,22.881
True,17,David ALMANSA,22,2,26.641,26.641
True,17,David ALMANSA,22,3,22.715,22.715
True,17,David ALMANSA,22,4,26.844,26.844
True,1,Scott OGDEN,19,1,26.097,26.097
True,1,Scott OGDEN,19,2,30.925,30.925
True,1,Scott OGDEN,19,3,25.147,25.147
True,1,Scott OGDEN,19,4,28.722,28.722
True,2,Scott OGDEN,19,1,24.232,24.232
True,2,Scott OGDEN,19,2,28.281,28.281
True,2,Scott OGDEN,19,3,23.987,23.987
True,2,Scott OGDEN,19,4,28.272,28.272
True,3,Scott OGDEN,19,1,23.713,23.713
True,3,Scott OGDEN,19,2,27.619,27.619
True,3,Scott OGDEN,19,3,23.525,23.525
True,3,Scott OGDEN,19,4,27.735,27.735
True,4,Scott OGDEN,19,1,23.366,23.366
True,4,Scott OGDEN,19,2,27.785,27.785
True,4,Scott OGDEN,19,3,23.319,23.319
True,4,Scott OGDEN,19,4,27.594,27.594
True,5,Scott OGDEN,19,1,23.150,23.15
True,5,Scott OGDEN,19,2,28.721,28.721
True,5,Scott OGDEN,19,3,23.344,23.344
True,5,Scott OGDEN,19,4,27.993,27.993
True,6,Scott OGDEN,19,1,23.146,23.146
True,6,Scott OGDEN,19,2,27.008,27.008
True,6,Scott OGDEN,19,3,23.258,23.258
True,6,Scott OGDEN,19,4,27.710,27.71
True,7,Scott OGDEN,19,1,23.336,23.336
True,7,Scott OGDEN,19,2,29.565,29.565
True,7,Scott OGDEN,19,3,23.765,23.765
True,7,Scott OGDEN,19,4,27.545,27.545
True,8,Scott OGDEN,19,1,23.105,23.105
True,8,Scott OGDEN,19,2,26.980,26.98
True,8,Scott OGDEN,19,3,22.975,22.975
True,8,Scott OGDEN,19,4,27.297,27.297
True,9,Scott OGDEN,19,1,23.099,23.099
True,9,Scott OGDEN,19,2,27.190,27.19
True,9,Scott OGDEN,19,3,23.400,23.4
True,9,Scott OGDEN,19,4,27.425,27.425
True,10,Scott OGDEN,19,1,23.099,23.099
True,10,Scott OGDEN,19,2,27.010,27.01
True,10,Scott OGDEN,19,3,22.989,22.989
True,10,Scott OGDEN,19,4,27.482,27.482
True,11,Scott OGDEN,19,1,23.030,23.03
True,11,Scott OGDEN,19,2,26.791,26.791
